#TYPE System.ServiceProcess.ServiceController
"Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","ServiceHandle","Status","ServiceType","StartType","Site","Container"
"AJRouter","System.ServiceProcess.ServiceController[]","False","False","False","AllJoyn Router Service","System.ServiceProcess.ServiceController[]",".","AJRouter","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"ALG","System.ServiceProcess.ServiceController[]","False","False","False","Application Layer Gateway Service","System.ServiceProcess.ServiceController[]",".","ALG","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"AppIDSvc","System.ServiceProcess.ServiceController[]","False","False","False","Application Identity","System.ServiceProcess.ServiceController[]",".","AppIDSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"Appinfo","System.ServiceProcess.ServiceController[]","False","False","False","Application Information","System.ServiceProcess.ServiceController[]",".","Appinfo","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"AppMgmt","System.ServiceProcess.ServiceController[]","False","False","False","Application Management","System.ServiceProcess.ServiceController[]",".","AppMgmt","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"AppReadiness","System.ServiceProcess.ServiceController[]","False","False","False","App Readiness","System.ServiceProcess.ServiceController[]",".","AppReadiness","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"AppVClient","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft App-V Client","System.ServiceProcess.ServiceController[]",".","AppVClient","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Disabled",,
"AppXSvc","System.ServiceProcess.ServiceController[]","False","True","True","AppX Deployment Service (AppXSVC)","System.ServiceProcess.ServiceController[]",".","AppXSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"AudioEndpointBuilder","System.ServiceProcess.ServiceController[]","False","False","False","Windows Audio Endpoint Builder","System.ServiceProcess.ServiceController[]",".","AudioEndpointBuilder","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"Audiosrv","System.ServiceProcess.ServiceController[]","False","False","False","Windows Audio","System.ServiceProcess.ServiceController[]",".","Audiosrv","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"AxInstSV","System.ServiceProcess.ServiceController[]","False","False","False","ActiveX Installer (AxInstSV)","System.ServiceProcess.ServiceController[]",".","AxInstSV","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"BFE","System.ServiceProcess.ServiceController[]","False","False","True","Base Filtering Engine","System.ServiceProcess.ServiceController[]",".","BFE","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"BITS","System.ServiceProcess.ServiceController[]","False","False","True","Background Intelligent Transfer Service","System.ServiceProcess.ServiceController[]",".","BITS","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"BrokerInfrastructure","System.ServiceProcess.ServiceController[]","False","False","False","Background Tasks Infrastructure Service","System.ServiceProcess.ServiceController[]",".","BrokerInfrastructure","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"BTAGService","System.ServiceProcess.ServiceController[]","False","False","False","Bluetooth Audio Gateway Service","System.ServiceProcess.ServiceController[]",".","BTAGService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"BthAvctpSvc","System.ServiceProcess.ServiceController[]","False","False","False","AVCTP service","System.ServiceProcess.ServiceController[]",".","BthAvctpSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"bthserv","System.ServiceProcess.ServiceController[]","False","False","False","Bluetooth Support Service","System.ServiceProcess.ServiceController[]",".","bthserv","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"camsvc","System.ServiceProcess.ServiceController[]","False","True","True","Capability Access Manager Service","System.ServiceProcess.ServiceController[]",".","camsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"CaptureService_63b41","System.ServiceProcess.ServiceController[]","False","False","False","CaptureService_63b41","System.ServiceProcess.ServiceController[]",".","CaptureService_63b41","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","224","Manual",,
"cbdhsvc_63b41","System.ServiceProcess.ServiceController[]","False","False","False","Clipboard User Service_63b41","System.ServiceProcess.ServiceController[]",".","cbdhsvc_63b41","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","224","Manual",,
"CDPSvc","System.ServiceProcess.ServiceController[]","False","False","True","Connected Devices Platform Service","System.ServiceProcess.ServiceController[]",".","CDPSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"CDPUserSvc_63b41","System.ServiceProcess.ServiceController[]","False","False","True","Connected Devices Platform User Service_63b41","System.ServiceProcess.ServiceController[]",".","CDPUserSvc_63b41","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","224","Automatic",,
"CertPropSvc","System.ServiceProcess.ServiceController[]","False","False","False","Certificate Propagation","System.ServiceProcess.ServiceController[]",".","CertPropSvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"ClipSVC","System.ServiceProcess.ServiceController[]","False","True","True","Client License Service (ClipSVC)","System.ServiceProcess.ServiceController[]",".","ClipSVC","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Manual",,
"COMSysApp","System.ServiceProcess.ServiceController[]","False","False","True","COM+ System Application","System.ServiceProcess.ServiceController[]",".","COMSysApp","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Manual",,
"ConsentUxUserSvc_63b41","System.ServiceProcess.ServiceController[]","False","False","False","ConsentUX_63b41","System.ServiceProcess.ServiceController[]",".","ConsentUxUserSvc_63b41","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","224","Manual",,
"CoreMessagingRegistrar","System.ServiceProcess.ServiceController[]","False","False","False","CoreMessaging","System.ServiceProcess.ServiceController[]",".","CoreMessagingRegistrar","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"CryptSvc","System.ServiceProcess.ServiceController[]","False","True","True","Cryptographic Services","System.ServiceProcess.ServiceController[]",".","CryptSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"CscService","System.ServiceProcess.ServiceController[]","False","False","False","Offline Files","System.ServiceProcess.ServiceController[]",".","CscService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Disabled",,
"DcomLaunch","System.ServiceProcess.ServiceController[]","False","False","False","DCOM Server Process Launcher","System.ServiceProcess.ServiceController[]",".","DcomLaunch","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"defragsvc","System.ServiceProcess.ServiceController[]","False","False","False","Optimize drives","System.ServiceProcess.ServiceController[]",".","defragsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"DeviceAssociationService","System.ServiceProcess.ServiceController[]","False","False","False","Device Association Service","System.ServiceProcess.ServiceController[]",".","DeviceAssociationService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"DeviceInstall","System.ServiceProcess.ServiceController[]","False","False","False","Device Install Service","System.ServiceProcess.ServiceController[]",".","DeviceInstall","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"DevicePickerUserSvc_63b41","System.ServiceProcess.ServiceController[]","False","False","False","DevicePicker_63b41","System.ServiceProcess.ServiceController[]",".","DevicePickerUserSvc_63b41","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","224","Manual",,
"DevicesFlowUserSvc_63b41","System.ServiceProcess.ServiceController[]","False","False","False","DevicesFlow_63b41","System.ServiceProcess.ServiceController[]",".","DevicesFlowUserSvc_63b41","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","224","Manual",,
"DevQueryBroker","System.ServiceProcess.ServiceController[]","False","False","False","DevQuery Background Discovery Broker","System.ServiceProcess.ServiceController[]",".","DevQueryBroker","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
